active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2007-10-31,8,-12,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,LOSS,927,3,5,2,4,0,0,0,1,0,1,0,0,0,7.0
True,2007-11-02,8,6,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,996,3,4,2,2,0,0,1,0,0,0,0,0,1,6.7
True,2007-11-04,3,-3,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,1385,1,3,1,3,0,0,0,2,2,0,0,1,1,1.9
True,2007-11-06,10,-10,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,WIN,1412,4,8,2,6,0,1,0,1,4,0,0,1,2,6.9
True,2007-11-07,6,-8,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,1351,2,6,2,6,0,0,0,1,2,1,0,2,0,3.3
True,2007-11-09,10,3,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,WIN,1341,4,11,2,7,0,0,0,3,0,1,0,2,2,3.0
True,2007-11-11,9,3,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,WIN,1363,3,5,1,1,2,2,0,0,1,0,0,2,1,5.0
True,2007-11-12,9,-12,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,1736,3,9,3,7,0,0,0,2,3,0,0,2,2,3.8
True,2007-11-14,3,-7,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,LOSS,682,1,5,1,4,0,0,0,2,1,0,0,0,0,1.2
True,2007-11-16,6,1,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,1046,2,5,2,4,0,1,0,1,0,1,0,1,1,2.8
True,2007-11-20,2,-4,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,LOSS,865,1,3,0,2,0,0,0,0,1,0,0,0,3,-0.2
True,2007-11-21,0,1,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1092,0,3,0,3,0,0,0,2,0,1,0,1,0,-1.5
True,2007-11-24,17,15,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,1986,6,10,5,9,0,0,0,1,3,0,0,0,0,14.8
True,2007-11-25,8,4,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,1365,3,5,2,4,0,1,0,1,4,0,0,0,2,7.6
True,2007-11-27,0,-7,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,533,0,3,0,2,0,0,0,1,0,0,0,0,0,-1.8
True,2007-11-28,6,-3,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1054,2,5,2,2,0,0,0,0,1,0,0,0,0,4.0
True,2007-11-30,8,4,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1561,3,7,2,5,0,0,0,1,2,0,0,1,1,4.6
True,2007-12-02,5,1,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,1190,2,8,1,6,0,0,0,2,2,0,0,1,1,0.8
True,2007-12-04,0,-4,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,LOSS,221,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2007-12-05,8,-7,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,1420,3,4,2,3,0,0,0,1,4,0,0,1,0,8.5
True,2007-12-08,0,-1,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,LOSS,659,0,1,0,1,0,0,0,1,2,0,0,0,0,1.0
True,2007-12-11,6,11,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1135,2,4,2,3,0,0,0,1,1,0,0,1,5,2.0
True,2007-12-14,2,-12,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,LOSS,781,1,4,0,3,0,0,0,0,2,0,0,0,0,1.0
True,2007-12-15,3,-12,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,LOSS,589,1,3,1,3,0,0,0,1,0,0,0,2,0,-0.4
True,2007-12-19,0,4,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,693,0,1,0,1,0,0,0,0,0,0,0,1,2,-2.5
True,2008-01-06,6,27,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,WIN,1089,2,2,2,2,0,0,0,0,2,0,0,0,0,6.8
True,2008-01-08,4,3,CLEVELAND CAVALIERS,HOME,SEATTLE SUPERSONICS,WIN,1412,1,5,1,4,1,2,0,2,2,1,0,0,0,3.5
True,2008-01-09,8,-4,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1683,2,5,2,2,2,2,0,0,3,1,0,0,5,6.4
True,2008-01-11,6,19,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,1360,2,4,2,4,0,0,0,1,3,0,0,0,0,6.4
True,2008-01-15,9,0,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,WIN,1780,3,5,2,4,1,2,0,1,1,1,0,1,1,6.9
True,2008-01-17,7,3,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,WIN,1133,3,3,1,1,0,0,0,2,0,0,0,1,1,5.3
True,2008-01-21,10,5,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,WIN,1203,3,4,1,1,3,4,0,1,1,0,0,0,0,9.0
True,2008-01-23,5,3,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,1135,2,5,1,3,0,0,0,0,3,1,0,0,0,5.4
True,2008-01-25,5,1,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,LOSS,1239,2,6,1,5,0,0,0,0,1,0,0,0,1,1.9
True,2008-01-27,6,3,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,1191,2,5,2,5,0,0,0,2,1,0,0,1,0,3.6
True,2008-01-30,6,19,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1463,2,3,2,3,0,0,0,1,0,0,0,0,0,5.0
True,2008-01-31,15,6,CLEVELAND CAVALIERS,AWAY,SEATTLE SUPERSONICS,LOSS,1682,5,12,5,11,0,0,0,3,1,1,0,1,2,9.4
True,2008-02-02,3,4,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,1098,1,4,1,4,0,0,0,1,4,0,0,0,0,3.7
True,2008-02-05,8,-3,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,982,3,5,2,4,0,0,1,0,1,0,0,1,3,4.9
True,2008-02-07,9,0,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,1365,3,7,3,7,0,0,0,1,2,2,0,0,1,8.6
True,2008-02-08,13,4,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,WIN,1556,5,9,3,5,0,0,0,2,3,0,0,1,1,10.0
True,2008-02-10,0,-10,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,LOSS,1151,0,3,0,3,0,0,0,2,3,0,0,0,2,-0.2
True,2008-02-11,2,4,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,WIN,509,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2008-02-13,9,-10,CLEVELAND CAVALIERS,HOME,SAN ANTONIO SPURS,LOSS,1562,3,6,3,5,0,0,0,1,2,0,0,0,0,7.7
True,2008-02-19,0,0,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,LOSS,267,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2008-02-20,3,19,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,1270,1,4,1,3,0,0,0,1,2,0,0,0,2,1.5
True,2008-02-22,27,2,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2647,10,16,7,11,0,0,0,0,4,1,0,1,2,21.8
True,2008-02-24,11,9,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,1033,4,6,3,5,0,0,0,2,3,0,1,0,3,10.6
True,2008-02-26,12,-1,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1253,4,5,4,4,0,0,0,1,5,0,0,0,3,12.7
True,2008-02-27,3,-2,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,895,1,5,1,4,0,0,0,0,2,1,0,0,0,2.3
True,2008-02-29,11,5,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1147,4,9,2,6,1,1,0,0,1,0,0,0,0,7.0
True,2008-03-02,3,-6,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,768,1,6,1,4,0,0,0,1,1,0,0,1,2,-1.6
True,2008-03-05,15,23,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,1303,5,8,5,8,0,0,1,1,2,0,0,0,2,13.0
True,2008-03-06,7,2,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,1332,2,6,2,5,1,1,0,1,3,0,0,0,1,5.6
True,2008-03-08,3,-7,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,888,1,7,1,6,0,0,0,2,3,0,0,0,0,1.2
True,2008-03-10,4,-1,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,996,1,3,1,3,1,2,0,2,0,1,0,0,2,2.7
True,2008-03-12,12,13,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,LOSS,1720,4,10,4,8,0,0,1,2,4,1,0,1,0,10.7
True,2008-03-13,9,-6,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,827,3,7,3,5,0,0,0,1,1,0,0,0,1,5.9
True,2008-03-16,8,0,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,897,2,3,2,3,2,2,0,1,1,1,0,0,1,8.3
True,2008-03-17,6,-10,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,1266,2,6,2,6,0,0,1,0,2,0,0,0,0,4.7
True,2008-03-19,0,1,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,884,0,2,0,1,0,0,0,1,1,0,0,1,0,-1.4
True,2008-03-21,10,10,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,1625,3,9,2,7,2,2,0,0,7,0,0,0,1,9.4
True,2008-03-22,10,-1,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1626,3,9,2,7,2,3,0,1,4,0,0,1,0,6.6
True,2008-03-26,9,4,CLEVELAND CAVALIERS,HOME,NEW ORLEANS HORNETS,LOSS,1311,3,7,3,7,0,0,0,1,1,1,0,0,2,6.5
True,2008-03-29,2,-7,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1779,1,4,0,2,0,0,0,3,6,1,0,2,2,2.9
True,2008-03-30,0,-1,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,268,0,1,0,1,0,0,0,0,2,0,0,1,0,-0.3
